Année du Baccalauréat;Enseignements de spécialité;Formation;Nombre de candidats bacheliers ayant confirmé au moins un vœu;Nombre de candidats bacheliers ayant reçu au moins une proposition d'admission;Nombre de candidats bacheliers ayant accepté une proposition d'admission
2021;Art,Art;Licence Electronique, Génie électrique, EEA;0;0.0;0
2021;Art,Art;Licence Formation générale aux métiers de l ingénieur;0;0.0;0
2021;Art,Art;Licence LEA;0;0.0;0
2021;Art,Art;Licence Mathématiques;0;0.0;0
2021;Art,Art;Licence Mathématiques et informatique;0;0.0;0
2021;Art,Art;Licence STAPS;0;0.0;0
2021;Art,Art;Licence Sciences politiques;0;0.0;0
2021;Art,Art;Licence Sciences religieuses;0;0.0;0
2021;Art,Art;Licence Sciences économiques;0;0.0;0
2021;Art,Art;BUT Service;0;0.0;0
2021;Art,Art;CPGE ECG;0;0.0;0
2021;Art,Art;CPGE S;0;0.0;0
2021;Art,Art;Autres formations;1;0.0;0
2021;Art,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Chimie;4;1.0;0
2021;Art,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Informatique;7;2.0;0
2021;Art,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Langues et littératures étrangères;317;236.0;66
2021;Art,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Pluri Droit - Sciences éco - AES;1;0.0;0
2021;Art,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Pluri Lettres - Langues - Sciences humaines;143;99.0;23
2021;Art,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Pluri Lettres - Sciences du langage - Arts;50;32.0;5
2021;Art,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Pluri Sciences économiques - Gestion;60;24.0;9
2021;Art,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Sciences de gestion;15;6.0;2
2021;Art,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Sciences de l univers, de la terre, de l espace;4;3.0;1
2021;Art,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Sciences et technologies industrielles;14;4.0;2
2021;Art,Histoire-Géographie, Géopolitique et Sciences politiques;Licence L.AS;1118;36.0;12
2021;Art,Histoire-Géographie, Géopolitique et Sciences politiques;BUT Service;430;93.0;49
2021;Art,Histoire-Géographie, Géopolitique et Sciences politiques;Ecoles d'ingénieurs;3;0.0;0
2021;Art,Histoire-Géographie, Géopolitique et Sciences politiques;Ecoles de Commerce;35;19.0;11
2021;Art,Humanités, Littérature et Philosophie;Licence Archéologie, Ethno, Préhistoire, Anthropologie;79;35.0;11
2021;Art,Humanités, Littérature et Philosophie;Licence Formation générale aux métiers de l ingénieur;3;0.0;0
2021;Art,Humanités, Littérature et Philosophie;Licence Mathématiques;7;1.0;0
2021;Art,Humanités, Littérature et Philosophie;Licence Mécanique, Génie mécanique, Ingénierie mécanique;0;0.0;0
2021;Art,Humanités, Littérature et Philosophie;Licence Pluri Langues;8;4.0;0
2021;Art,Humanités, Littérature et Philosophie;Licence Pluri Lettres - Sciences du langage - Arts;90;66.0;11
2021;Art,Humanités, Littérature et Philosophie;Licence Pluri Sciences humaines et sociales;4;1.0;0
2021;Art,Humanités, Littérature et Philosophie;Licence STAPS;91;35.0;16
2021;Art,Humanités, Littérature et Philosophie;Licence Sciences de l éducation;238;106.0;44
2021;Art,Humanités, Littérature et Philosophie;Licence Sciences du langage - Linguistique;154;92.0;13
2021;Art,Humanités, Littérature et Philosophie;BTS Production;112;18.0;10
2021;Art,Humanités, Littérature et Philosophie;Ecoles d'ingénieurs;1;0.0;0
2021;Art,Humanités, Littérature et Philosophie;D.E  social;104;20.0;16
2021;Art,Humanités, Littérature et Philosophie;Formations d'ART;981;270.0;162
2021;Art,Humanités, Littérature et Philosophie;DCG;7;0.0;0
2021;Art,Langues, littératures et cultures étrangères et régionales;Licence AES;128;57.0;11
2021;Art,Langues, littératures et cultures étrangères et régionales;Licence Chimie;5;1.0;0
2021;Art,Langues, littératures et cultures étrangères et régionales;Licence Histoire;904;693.0;213
2021;Art,Langues, littératures et cultures étrangères et régionales;Licence Langues et littératures françaises;1045;643.0;140
2021;Art,Langues, littératures et cultures étrangères et régionales;Licence MASS;5;3.0;1
2021;Art,Langues, littératures et cultures étrangères et régionales;Licence Pluri Sciences humaines et sociales;14;7.0;2
2021;Art,Langues, littératures et cultures étrangères et régionales;Licence STAPS;160;51.0;23
2021;Art,Langues, littératures et cultures étrangères et régionales;Licence Sciences de l information et de la communication;444;204.0;68
2021;Art,Langues, littératures et cultures étrangères et régionales;Licence Sciences et technologies industrielles;22;7.0;3
2021;Art,Langues, littératures et cultures étrangères et régionales;Autres formations;1165;312.0;163
2021;Art,Langues, littératures et cultures étrangères et régionales;CUPGE;2;0.0;0
2021;Art,Langues, littératures et cultures étrangères et régionales;DEUST;93;20.0;7
2021;Art,Mathématiques Spécialité;Licence Arts;808;618.0;226
2021;Art,Mathématiques Spécialité;Licence Electronique, Génie électrique, EEA;1;0.0;0
2021;Art,Mathématiques Spécialité;Licence Langues et littératures étrangères;172;137.0;29
2021;Art,Mathématiques Spécialité;Licence Mathématiques et informatique;3;1.0;0
2021;Art,Mathématiques Spécialité;Licence Philosophie, Epistémologie;42;22.0;3
2021;Art,Mathématiques Spécialité;Licence Physique;15;7.0;3
2021;Art,Mathématiques Spécialité;Licence Physique et chimie;8;3.0;1
2021;Art,Mathématiques Spécialité;Licence Pluri Sciences;5;2.0;0
2021;Art,Mathématiques Spécialité;Licence Pluri Sciences économiques - Gestion;87;47.0;11
2021;Art,Mathématiques Spécialité;Licence Sciences et technologies industrielles;45;13.0;4
2021;Art,Mathématiques Spécialité;Licence Sciences religieuses;2;2.0;0
2021;Art,Mathématiques Spécialité;BTS Agricole;24;9.0;2
2021;Art,Mathématiques Spécialité;Formations d'ART;797;292.0;165
2021;Art,Mathématiques Spécialité;Autres formations;694;227.0;145
2021;Art,Mathématiques Spécialité;CUPGE;3;1.0;1
2021;Art,Mathématiques Spécialité;Formations des écoles nationales vétérinaires;1;0.0;0
2021;Art,Numérique et Sciences Informatiques;Licence Chimie;8;0.0;0
2021;Art,Numérique et Sciences Informatiques;Licence Electronique, Génie électrique, EEA;0;0.0;0
2021;Art,Numérique et Sciences Informatiques;Licence Histoire;43;32.0;5
2021;Art,Numérique et Sciences Informatiques;Licence LEA;29;16.0;4
2021;Art,Numérique et Sciences Informatiques;Licence Langues et littératures françaises;23;15.0;2
2021;Art,Numérique et Sciences Informatiques;Licence Physique;9;3.0;1
2021;Art,Numérique et Sciences Informatiques;Licence Pluri Sciences économiques - Gestion;7;4.0;2
2021;Art,Numérique et Sciences Informatiques;Licence STAPS;16;7.0;5
2021;Art,Numérique et Sciences Informatiques;Licence Sciences de gestion;3;0.0;0
2021;Art,Numérique et Sciences Informatiques;PASS;4;0.0;0
2021;Art,Numérique et Sciences Informatiques;BTS Agricole;9;1.0;0
2021;Art,Numérique et Sciences Informatiques;CPGE ECG;2;1.0;0
2021;Art,Numérique et Sciences Informatiques;CPGE L;7;5.0;2
2021;Art,Physique-Chimie Spécialité;Licence Génie civil;0;0.0;0
2021;Art,Physique-Chimie Spécialité;Licence Géographie;20;13.0;4
2021;Art,Physique-Chimie Spécialité;Licence MASS;6;3.0;1
2021;Art,Physique-Chimie Spécialité;Licence Pluri Droit - Sciences éco - AES;0;0.0;0
2021;Art,Physique-Chimie Spécialité;Licence Pluri Sciences fondamentales et applications;0;0.0;0
2021;Art,Physique-Chimie Spécialité;Licence Sciences de l information et de la communication;27;14.0;2
2021;Art,Physique-Chimie Spécialité;Licence Sciences de l univers, de la terre, de l espace;7;4.0;1
2021;Art,Physique-Chimie Spécialité;Licence Sciences du langage - Linguistique;5;3.0;1
2021;Art,Physique-Chimie Spécialité;Licence Sociologie, Démographie;10;8.0;2
2021;Art,Physique-Chimie Spécialité;Ecoles d'ingénieurs;19;5.0;4
2021;Art,Physique-Chimie Spécialité;Formations des écoles nationales vétérinaires;2;0.0;0
2021;Art,Physique-Chimie Spécialité;Ensemble des bacheliers;548;482.0;374
2021;Art,Sciences Economiques et Sociales Spécialité;Licence Electronique, Génie électrique, EEA;0;0.0;0
2021;Art,Sciences Economiques et Sociales Spécialité;Licence Pluri Droit - Sciences éco - AES;1;0.0;0
2021;Art,Sciences Economiques et Sociales Spécialité;Licence Pluri Langues;4;4.0;1
2021;Art,Sciences Economiques et Sociales Spécialité;Licence Pluri Sciences;12;9.0;2
2021;Art,Sciences Economiques et Sociales Spécialité;Licence Psychlogie, Sciences cognitives;392;197.0;81
2021;Art,Sciences Economiques et Sociales Spécialité;Licence Sciences de l information et de la communication;301;137.0;44
2021;Art,Sciences Economiques et Sociales Spécialité;Licence Sciences politiques;78;15.0;3
2021;Art,Sciences Economiques et Sociales Spécialité;BUT Production;167;34.0;12
2021;Art,Sciences Economiques et Sociales Spécialité;D.E  social;69;21.0;15
2021;Art,Sciences Economiques et Sociales Spécialité;CUPGE;2;1.0;0
2021;Art,Sciences Economiques et Sociales Spécialité;DCG;23;8.0;3
2021;Art,Sciences Economiques et Sociales Spécialité;DEUST;35;9.0;5
2021;Art,Sciences Economiques et Sociales Spécialité;Ensemble des bacheliers;2314;2000.0;1619
2021;Art,Sciences de l'ingénieur et sciences physiques;Licence Arts;23;21.0;6
2021;Art,Sciences de l'ingénieur et sciences physiques;Licence Langues et littératures françaises;2;0.0;0
2021;Art,Sciences de l'ingénieur et sciences physiques;Licence Philosophie, Epistémologie;1;1.0;0
2021;Art,Sciences de l'ingénieur et sciences physiques;Licence Pluri Lettres - Langues - Sciences humaines;1;0.0;0
2021;Art,Sciences de l'ingénieur et sciences physiques;Licence Pluri Lettres - Sciences du langage - Arts;0;0.0;0
2021;Art,Sciences de l'ingénieur et sciences physiques;Licence Psychlogie, Sciences cognitives;1;1.0;0
2021;Art,Sciences de l'ingénieur et sciences physiques;Licence Sciences politiques;0;0.0;0
2021;Art,Sciences de l'ingénieur et sciences physiques;BTS Agricole;0;0.0;0
2021;Art,Sciences de l'ingénieur et sciences physiques;Ecoles d'ingénieurs;0;0.0;0
2021;Art,Sciences de l'ingénieur et sciences physiques;D.E sanitaire;1;0.0;0
2021;Art,Sciences de l'ingénieur et sciences physiques;CUPGE;0;0.0;0
2021;Art,Sciences de l'ingénieur et sciences physiques;DCG;0;0.0;0
2021;Art,Sciences de la vie et de la Terre Spécialité;Licence AES;18;11.0;3
2021;Art,Sciences de la vie et de la Terre Spécialité;Licence Arts;367;291.0;120
2021;Art,Sciences de la vie et de la Terre Spécialité;Licence Géographie;21;18.0;3
2021;Art,Sciences de la vie et de la Terre Spécialité;Licence Mathématiques;11;0.0;0
2021;Art,Sciences de la vie et de la Terre Spécialité;Licence Mathématiques et informatique;0;0.0;0
2021;Art,Sciences de la vie et de la Terre Spécialité;Licence Physique et chimie;8;1.0;1
2021;Art,Sciences de la vie et de la Terre Spécialité;Licence Pluri Droit - Sciences éco - AES;0;0.0;0
2021;Art,Sciences de la vie et de la Terre Spécialité;Licence Psychlogie, Sciences cognitives;192;98.0;44
2021;Art,Sciences de la vie et de la Terre Spécialité;Licence Sciences du langage - Linguistique;34;23.0;6
2021;Art,Sciences de la vie et de la Terre Spécialité;BTS Agricole;42;24.0;19
2021;Art,Sciences de la vie et de la Terre Spécialité;Ecoles de Commerce;10;4.0;3
2021;Art,Sciences de la vie et de la Terre Spécialité;D.E  social;23;4.0;4
2021;Art,Sciences de la vie et de la Terre Spécialité;CUPGE;3;0.0;0
2021;Art,Sciences de la vie et de la Terre Spécialité;Sciences po;1;0.0;0
2021;Art,Sciences de la vie et de la Terre Spécialité;Formations des écoles nationales vétérinaires;11;0.0;0
2021;Art,Sciences de la vie et de la Terre Spécialité;Ensemble des bacheliers;878;773.0;636
2021;Biologie/Ecologie,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Arts;3;1.0;0
2021;Biologie/Ecologie,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Langues et littératures françaises;0;0.0;0
2021;Biologie/Ecologie,Histoire-Géographie, Géopolitique et Sciences politiques;Licence MASS;0;0.0;0
2021;Biologie/Ecologie,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Pluri Droit - Sciences éco - AES;0;0.0;0
2021;Biologie/Ecologie,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Pluri Lettres - Langues - Sciences humaines;3;2.0;0
2021;Biologie/Ecologie,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Pluri Sciences économiques - Gestion;1;0.0;0
2021;Biologie/Ecologie,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Sciences de l éducation;0;0.0;0
2021;Biologie/Ecologie,Histoire-Géographie, Géopolitique et Sciences politiques;CPGE ECG;0;0.0;0
2021;Biologie/Ecologie,Histoire-Géographie, Géopolitique et Sciences politiques;Ecoles de Commerce;0;0.0;0
2021;Biologie/Ecologie,Histoire-Géographie, Géopolitique et Sciences politiques;Sciences po;1;0.0;0
2021;Biologie/Ecologie,Humanités, Littérature et Philosophie;Licence AES;0;0.0;0
2021;Biologie/Ecologie,Humanités, Littérature et Philosophie;Licence Génie civil;0;0.0;0
2021;Biologie/Ecologie,Humanités, Littérature et Philosophie;Licence Mathématiques;0;0.0;0
2021;Biologie/Ecologie,Humanités, Littérature et Philosophie;Licence Mathématiques et informatique;0;0.0;0
2021;Biologie/Ecologie,Humanités, Littérature et Philosophie;Licence Sciences de gestion;0;0.0;0
2021;Biologie/Ecologie,Humanités, Littérature et Philosophie;Licence Sciences de l éducation;1;1.0;1
2021;Biologie/Ecologie,Humanités, Littérature et Philosophie;Licence Sciences économiques;0;0.0;0
2021;Biologie/Ecologie,Humanités, Littérature et Philosophie;Licence Sociologie, Démographie;1;0.0;0
2021;Biologie/Ecologie,Humanités, Littérature et Philosophie;BUT Service;0;0.0;0
2021;Biologie/Ecologie,Humanités, Littérature et Philosophie;BTS Service;0;0.0;0
2021;Biologie/Ecologie,Humanités, Littérature et Philosophie;CUPGE;0;0.0;0
2021;Biologie/Ecologie,Humanités, Littérature et Philosophie;DEUST;0;0.0;0
2021;Biologie/Ecologie,Humanités, Littérature et Philosophie;Sciences po;0;0.0;0
2021;Biologie/Ecologie,Langues, littératures et cultures étrangères et régionales;Licence LEA;0;0.0;0
2021;Biologie/Ecologie,Langues, littératures et cultures étrangères et régionales;Licence MASS;0;0.0;0
2021;Biologie/Ecologie,Langues, littératures et cultures étrangères et régionales;Licence Mathématiques;0;0.0;0
2021;Biologie/Ecologie,Langues, littératures et cultures étrangères et régionales;Licence Mécanique, Génie mécanique, Ingénierie mécanique;0;0.0;0
2021;Biologie/Ecologie,Langues, littératures et cultures étrangères et régionales;Licence Philosophie, Epistémologie;0;0.0;0
2021;Biologie/Ecologie,Langues, littératures et cultures étrangères et régionales;Licence Pluri Sciences de la vie, de la santé, de la terre et de l univers;0;0.0;0
2021;Biologie/Ecologie,Langues, littératures et cultures étrangères et régionales;Licence Pluri Sciences fondamentales et applications;0;0.0;0
2021;Biologie/Ecologie,Langues, littératures et cultures étrangères et régionales;Licence Sciences de l information et de la communication;0;0.0;0
2021;Biologie/Ecologie,Langues, littératures et cultures étrangères et régionales;Licence Sciences politiques;0;0.0;0
2021;Biologie/Ecologie,Langues, littératures et cultures étrangères et régionales;BUT Production;0;0.0;0
2021;Biologie/Ecologie,Langues, littératures et cultures étrangères et régionales;BUT Service;0;0.0;0
2021;Biologie/Ecologie,Langues, littératures et cultures étrangères et régionales;BTS Agricole;0;0.0;0
2021;Biologie/Ecologie,Langues, littératures et cultures étrangères et régionales;BTS Service;1;1.0;1
2021;Biologie/Ecologie,Langues, littératures et cultures étrangères et régionales;Ecoles d'ingénieurs;0;0.0;0
2021;Biologie/Ecologie,Langues, littératures et cultures étrangères et régionales;Formations d'ART;0;0.0;0
2021;Biologie/Ecologie,Mathématiques Spécialité;Licence AES;9;7.0;0
2021;Biologie/Ecologie,Mathématiques Spécialité;Licence Chimie;42;15.0;2
2021;Biologie/Ecologie,Mathématiques Spécialité;Licence Mathématiques et informatique;0;0.0;0
2021;Biologie/Ecologie,Mathématiques Spécialité;Licence Physique;19;1.0;1
2021;Biologie/Ecologie,Mathématiques Spécialité;Licence Physique et chimie;19;0.0;0
2021;Biologie/Ecologie,Mathématiques Spécialité;Licence Psychlogie, Sciences cognitives;44;25.0;11
2021;Biologie/Ecologie,Mathématiques Spécialité;Licence Sciences de l éducation;24;12.0;5
2021;Biologie/Ecologie,Mathématiques Spécialité;Licence Sciences du langage - Linguistique;8;4.0;0
2021;Biologie/Ecologie,Mathématiques Spécialité;Licence Sciences juridiques;31;18.0;7
2021;Biologie/Ecologie,Mathématiques Spécialité;Licence Sciences économiques;7;4.0;1
2021;Biologie/Ecologie,Mathématiques Spécialité;Licence Sociologie, Démographie;18;15.0;1
2021;Biologie/Ecologie,Mathématiques Spécialité;PASS;60;22.0;6
2021;Biologie/Ecologie,Mathématiques Spécialité;BUT Service;59;16.0;8
2021;Biologie/Ecologie,Mathématiques Spécialité;D.E  social;2;0.0;0
2021;Biologie/Ecologie,Mathématiques Spécialité;Autres formations;53;15.0;6
2021;Biologie/Ecologie,Physique-Chimie Spécialité;Licence Arts;24;14.0;6
2021;Biologie/Ecologie,Physique-Chimie Spécialité;Licence Chimie;207;103.0;19
2021;Biologie/Ecologie,Physique-Chimie Spécialité;Licence Langues et littératures françaises;10;7.0;2
2021;Biologie/Ecologie,Physique-Chimie Spécialité;Licence Pluri Lettres - Langues - Sciences humaines;8;4.0;1
2021;Biologie/Ecologie,Physique-Chimie Spécialité;Licence Pluri Sciences fondamentales et applications;1;0.0;0
2021;Biologie/Ecologie,Physique-Chimie Spécialité;Licence Psychlogie, Sciences cognitives;148;99.0;36
2021;Biologie/Ecologie,Physique-Chimie Spécialité;Licence Sciences du langage - Linguistique;11;7.0;0
2021;Biologie/Ecologie,Physique-Chimie Spécialité;Licence Sciences et technologies industrielles;27;15.0;5
2021;Biologie/Ecologie,Physique-Chimie Spécialité;Licence Sciences juridiques;90;65.0;25
2021;Biologie/Ecologie,Physique-Chimie Spécialité;Licence L.AS;914;207.0;60
2021;Biologie/Ecologie,Physique-Chimie Spécialité;BUT Production;535;279.0;127
2021;Biologie/Ecologie,Physique-Chimie Spécialité;BTS Production;152;72.0;19
2021;Biologie/Ecologie,Physique-Chimie Spécialité;CPGE ECG;5;2.0;2
2021;Biologie/Ecologie,Sciences Economiques et Sociales Spécialité;Licence AES;1;1.0;0
2021;Biologie/Ecologie,Sciences Economiques et Sociales Spécialité;Licence Arts;2;0.0;0
2021;Biologie/Ecologie,Sciences Economiques et Sociales Spécialité;Licence Géographie;0;0.0;0
2021;Biologie/Ecologie,Sciences Economiques et Sociales Spécialité;Licence Pluri Sciences économiques - Gestion;1;1.0;1
2021;Biologie/Ecologie,Sciences Economiques et Sociales Spécialité;Licence Sciences de l information et de la communication;1;1.0;1
2021;Biologie/Ecologie,Sciences Economiques et Sociales Spécialité;Licence Sciences et technologies industrielles;1;0.0;0
2021;Biologie/Ecologie,Sciences Economiques et Sociales Spécialité;Licence Sciences politiques;1;0.0;0
2021;Biologie/Ecologie,Sciences Economiques et Sociales Spécialité;PASS;0;0.0;0
2021;Biologie/Ecologie,Sciences Economiques et Sociales Spécialité;Sciences po;1;0.0;0
2021;Biologie/Ecologie,Sciences Economiques et Sociales Spécialité;Formations des écoles nationales vétérinaires;1;0.0;0
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Humanités, Littérature et Philosophie;Licence Langues et littératures françaises;3235;2722.0;648
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Humanités, Littérature et Philosophie;Licence Langues et littératures étrangères;1474;1112.0;293
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Humanités, Littérature et Philosophie;Licence Philosophie, Epistémologie;1980;1360.0;266
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Humanités, Littérature et Philosophie;Licence Pluri Droit - Sciences éco - AES;14;0.0;0
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Humanités, Littérature et Philosophie;Licence Pluri Lettres - Langues - Sciences humaines;1099;723.0;102
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Humanités, Littérature et Philosophie;Licence STAPS;458;177.0;92
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Humanités, Littérature et Philosophie;Licence Sciences de l éducation;1041;499.0;200
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Humanités, Littérature et Philosophie;Licence Sciences du langage - Linguistique;648;422.0;84
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Humanités, Littérature et Philosophie;Licence Sciences politiques;1834;494.0;144
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Humanités, Littérature et Philosophie;Licence Sociologie, Démographie;1791;1260.0;289
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Langues, littératures et cultures étrangères et régionales;Licence Mathématiques et informatique;0;0.0;0
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Langues, littératures et cultures étrangères et régionales;Licence Mécanique, Génie mécanique, Ingénierie mécanique;1;1.0;0
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Langues, littératures et cultures étrangères et régionales;Licence Pluri Lettres - Sciences du langage - Arts;238;159.0;30
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Langues, littératures et cultures étrangères et régionales;Licence Pluri Sciences humaines et sociales;106;47.0;8
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Langues, littératures et cultures étrangères et régionales;Licence Sciences de l information et de la communication;2116;1117.0;406
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Langues, littératures et cultures étrangères et régionales;Licence Sciences de l univers, de la terre, de l espace;20;1.0;1
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Langues, littératures et cultures étrangères et régionales;Licence Sciences de la vie, biologie, santé;65;16.0;5
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Langues, littératures et cultures étrangères et régionales;Licence Sciences juridiques;6714;5192.0;3198
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Langues, littératures et cultures étrangères et régionales;Licence Sciences politiques;3025;966.0;356
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Langues, littératures et cultures étrangères et régionales;Licence Sociologie, Démographie;1964;1348.0;297
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Langues, littératures et cultures étrangères et régionales;Licence L.AS;9465;253.0;56
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Langues, littératures et cultures étrangères et régionales;PASS;155;36.0;16
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Langues, littératures et cultures étrangères et régionales;BTS Agricole;155;75.0;32
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Langues, littératures et cultures étrangères et régionales;BTS Production;306;62.0;25
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Langues, littératures et cultures étrangères et régionales;D.E  social;226;50.0;39
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Numérique et Sciences Informatiques;Licence Formation générale aux métiers de l ingénieur;13;4.0;0
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Numérique et Sciences Informatiques;Licence Génie civil;1;0.0;0
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Numérique et Sciences Informatiques;Licence Langues et littératures étrangères;27;23.0;7
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Numérique et Sciences Informatiques;Licence Mécanique, Génie mécanique, Ingénierie mécanique;1;0.0;0
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Numérique et Sciences Informatiques;Licence Philosophie, Epistémologie;8;6.0;1
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Numérique et Sciences Informatiques;Licence Physique;10;2.0;0
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Numérique et Sciences Informatiques;Licence Pluri Sciences;2;0.0;0
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Numérique et Sciences Informatiques;Licence Pluri Sciences de la vie, de la santé, de la terre et de l univers;0;0.0;0
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Numérique et Sciences Informatiques;Licence Pluri Sciences humaines et sociales;3;0.0;0
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Numérique et Sciences Informatiques;Licence Pluri Sciences économiques - Gestion;24;7.0;2
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Numérique et Sciences Informatiques;Licence STAPS;36;16.0;8
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Numérique et Sciences Informatiques;Licence Sciences et technologies industrielles;7;1.0;0
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Numérique et Sciences Informatiques;Licence Sciences politiques;32;8.0;2
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Numérique et Sciences Informatiques;PASS;4;1.0;0
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Numérique et Sciences Informatiques;BTS Agricole;6;3.0;3
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Numérique et Sciences Informatiques;Ecoles de Commerce;10;6.0;3
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Numérique et Sciences Informatiques;D.E sanitaire;2;0.0;0
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Numérique et Sciences Informatiques;DEUST;10;3.0;2
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Numérique et Sciences Informatiques;Formations des écoles nationales vétérinaires;0;0.0;0
2021;Humanités, Littérature et Philosophie,Langues, littératures et cultures étrangères et régionales;Licence Archéologie, Ethno, Préhistoire, Anthropologie;137;76.0;10
2021;Humanités, Littérature et Philosophie,Langues, littératures et cultures étrangères et régionales;Licence Electronique, Génie électrique, EEA;0;0.0;0
2021;Humanités, Littérature et Philosophie,Langues, littératures et cultures étrangères et régionales;Licence Génie civil;1;1.0;0
2021;Humanités, Littérature et Philosophie,Langues, littératures et cultures étrangères et régionales;Licence Langues et littératures françaises;3136;2523.0;729
2021;Humanités, Littérature et Philosophie,Langues, littératures et cultures étrangères et régionales;Licence Langues et littératures étrangères;4979;4243.0;1976
2021;Humanités, Littérature et Philosophie,Langues, littératures et cultures étrangères et régionales;Licence Mathématiques;12;5.0;2
2021;Humanités, Littérature et Philosophie,Langues, littératures et cultures étrangères et régionales;Licence Sciences de gestion;41;9.0;5
2021;Humanités, Littérature et Philosophie,Langues, littératures et cultures étrangères et régionales;Licence Sociologie, Démographie;941;638.0;136
2021;Humanités, Littérature et Philosophie,Langues, littératures et cultures étrangères et régionales;PASS;104;12.0;5
2021;Humanités, Littérature et Philosophie,Langues, littératures et cultures étrangères et régionales;CPGE S;68;7.0;4
2021;Humanités, Littérature et Philosophie,Langues, littératures et cultures étrangères et régionales;D.E sanitaire;306;72.0;52
2021;Humanités, Littérature et Philosophie,Langues, littératures et cultures étrangères et régionales;Formations d'ART;876;199.0;105
2021;Humanités, Littérature et Philosophie,Langues, littératures et cultures étrangères et régionales;DCG;15;3.0;1
2021;Humanités, Littérature et Philosophie,Langues, littératures et cultures étrangères et régionales;Formations des écoles nationales vétérinaires;7;0.0;0
2021;Littérature et langues et cultures de l'Antiquité,Art;Licence MASS;0;0.0;0
2021;Littérature et langues et cultures de l'Antiquité,Art;Licence Mathématiques et informatique;0;0.0;0
2021;Littérature et langues et cultures de l'Antiquité,Art;Licence Mécanique, Génie mécanique, Ingénierie mécanique;0;0.0;0
2021;Littérature et langues et cultures de l'Antiquité,Art;Licence Physique et chimie;0;0.0;0
2021;Littérature et langues et cultures de l'Antiquité,Art;Licence Pluri Sciences fondamentales et applications;0;0.0;0
2021;Littérature et langues et cultures de l'Antiquité,Art;Licence Psychlogie, Sciences cognitives;3;2.0;1
2021;Littérature et langues et cultures de l'Antiquité,Art;Licence Sciences de l éducation;0;0.0;0
2021;Littérature et langues et cultures de l'Antiquité,Art;Licence Sciences du langage - Linguistique;3;2.0;0
